Build ID,Character,Trial,Tier,Seed,Result,Virtual time,HP left,Rank
jennifer_weak,jennifer,brass_executioner,B,10101,Defeat,5.556,0.00,C
jennifer_weak,jennifer,brass_executioner,B,10102,Defeat,5.556,0.00,C
jennifer_weak,jennifer,brass_executioner,B,10103,Defeat,5.556,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,B,10201,Defeat,2.865,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,B,10202,Defeat,2.865,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,B,10203,Defeat,2.865,0.00,C
jennifer_weak,jennifer,ashen_bastion,B,10301,Defeat,5.000,0.00,C
jennifer_weak,jennifer,ashen_bastion,B,10302,Defeat,5.000,0.00,C
jennifer_weak,jennifer,ashen_bastion,B,10303,Defeat,5.000,0.00,C
jennifer_weak,jennifer,brass_executioner,A,20101,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,A,20102,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,A,20103,Defeat,3.704,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,A,20201,Defeat,2.083,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,A,20202,Defeat,2.083,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,A,20203,Defeat,2.083,0.00,C
jennifer_weak,jennifer,ashen_bastion,A,20301,Defeat,4.167,0.00,C
jennifer_weak,jennifer,ashen_bastion,A,20302,Defeat,4.167,0.00,C
jennifer_weak,jennifer,ashen_bastion,A,20303,Defeat,4.167,0.00,C
jennifer_weak,jennifer,brass_executioner,S,30101,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,S,30102,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,S,30103,Defeat,3.704,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S,30201,Defeat,1.823,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S,30202,Defeat,1.823,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S,30203,Defeat,1.823,0.00,C
jennifer_weak,jennifer,ashen_bastion,S,30301,Defeat,3.333,0.00,C
jennifer_weak,jennifer,ashen_bastion,S,30302,Defeat,3.333,0.00,C
jennifer_weak,jennifer,ashen_bastion,S,30303,Defeat,3.333,0.00,C
jennifer_weak,jennifer,brass_executioner,S+,40101,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,S+,40102,Defeat,3.704,0.00,C
jennifer_weak,jennifer,brass_executioner,S+,40103,Defeat,3.704,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S+,40201,Defeat,1.562,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S+,40202,Defeat,1.562,0.00,C
jennifer_weak,jennifer,thousand_handed_guardian,S+,40203,Defeat,1.562,0.00,C
jennifer_weak,jennifer,ashen_bastion,S+,40301,Defeat,2.500,0.00,C
jennifer_weak,jennifer,ashen_bastion,S+,40302,Defeat,2.500,0.00,C
jennifer_weak,jennifer,ashen_bastion,S+,40303,Defeat,2.500,0.00,C
jennifer_balanced,jennifer,brass_executioner,B,10101,Victory,11.818,34.27,B
jennifer_balanced,jennifer,brass_executioner,B,10102,Victory,11.818,41.98,B
jennifer_balanced,jennifer,brass_executioner,B,10103,Defeat,11.111,0.00,B
jennifer_balanced,jennifer,thousand_handed_guardian,B,10201,Victory,12.727,7.97,B
jennifer_balanced,jennifer,thousand_handed_guardian,B,10202,Victory,11.818,70.97,B
jennifer_balanced,jennifer,thousand_handed_guardian,B,10203,Victory,10.909,97.46,B
jennifer_balanced,jennifer,ashen_bastion,B,10301,Defeat,25.833,0.00,B
jennifer_balanced,jennifer,ashen_bastion,B,10302,Defeat,25.833,0.00,B
